step,phi_max,twist_energy_max,soliton_energy,twist_energy,gravity_energy,discarded_energy,alpha_pwari,emitted_energy_cumulative,Lz
13400,0.18532,2.28949e-03,5.48059e+01,3.30710e-01,7.43180e-01,1.13796e-01,0.00603420,1.88236e+02,-1.38279e-07
13500,0.26407,4.66724e-03,5.10046e+01,3.47123e-01,6.98262e-01,1.01011e-01,0.00680572,1.89395e+02,3.46794e-08
13600,0.18179,2.21001e-03,5.50969e+01,3.54902e-01,6.37563e-01,9.59181e-02,0.00644142,1.90550e+02,4.15730e-07
13700,0.20367,2.75499e-03,5.66631e+01,4.13371e-01,5.84119e-01,1.43865e-01,0.00729523,1.91702e+02,4.54004e-08
13800,0.22152,3.25785e-03,5.62413e+01,4.71556e-01,6.54946e-01,1.97058e-01,0.00838452,1.92851e+02,2.09522e-07
13900,0.18340,2.21290e-03,6.38994e+01,4.60802e-01,6.91139e-01,1.07247e-01,0.00721137,1.93998e+02,-2.57891e-07
14000,0.20542,2.83681e-03,5.20328e+01,4.17490e-01,7.27171e-01,1.41846e-01,0.00802360,1.95141e+02,4.92996e-07
14100,0.25609,4.34420e-03,4.73894e+01,3.16486e-01,6.47679e-01,1.49432e-01,0.00667843,1.96280e+02,-1.78677e-08
14200,0.20153,2.68854e-03,6.05632e+01,2.64709e-01,6.96149e-01,1.01111e-01,0.00437078,1.97417e+02,6.68456e-08
14300,0.14813,1.41874e-03,5.26370e+01,3.78282e-01,6.58788e-01,1.14654e-01,0.00718663,1.98549e+02,5.65619e-07
14400,0.31386,6.51005e-03,4.89546e+01,4.81160e-01,6.86443e-01,1.37403e-01,0.00982869,1.99679e+02,1.65508e-07
14500,0.12631,1.02012e-03,6.85656e+01,4.01504e-01,6.41779e-01,1.49638e-01,0.00585577,2.00806e+02,-7.73398e-08
14600,0.22087,3.21774e-03,5.84595e+01,4.03757e-01,6.22786e-01,1.72705e-01,0.00690660,2.01930e+02,1.44596e-07
14700,0.26835,4.74929e-03,4.14440e+01,4.44312e-01,6.31281e-01,1.57592e-01,0.01072079,2.03051e+02,1.10947e-07
14800,0.21836,3.12120e-03,5.43354e+01,3.37027e-01,5.84110e-01,1.51823e-01,0.00620271,2.04169e+02,2.09182e-07
14900,0.15809,1.64941e-03,6.23744e+01,2.63433e-01,5.70529e-01,1.07656e-01,0.00422342,2.05283e+02,3.38208e-08
15000,0.20195,2.68430e-03,5.17542e+01,3.45194e-01,5.90564e-01,1.73963e-01,0.00666989,2.06395e+02,-2.17062e-07
15100,0.21288,2.95103e-03,6.09022e+01,4.35749e-01,6.35338e-01,1.00996e-01,0.00715491,2.07503e+02,5.79466e-07
15200,0.18116,2.10892e-03,7.27200e+01,4.36737e-01,7.26053e-01,1.23668e-01,0.00600573,2.08608e+02,1.80832e-07
15300,0.24889,4.07029e-03,5.58425e+01,3.89010e-01,7.36123e-01,1.78995e-01,0.00696621,2.09710e+02,1.51288e-07
15400,0.18854,2.29106e-03,4.45305e+01,3.55328e-01,6.36726e-01,1.60096e-01,0.00797943,2.10809e+02,2.80745e-07
15500,0.18688,2.24788e-03,5.80191e+01,3.27521e-01,6.19088e-01,1.28487e-01,0.00564505,2.11905e+02,1.09031e-07
15600,0.17705,2.03926e-03,4.86462e+01,3.50164e-01,6.05992e-01,1.47656e-01,0.00719818,2.12998e+02,2.86252e-07
15700,0.14100,1.29219e-03,4.63675e+01,3.44647e-01,5.16245e-01,1.83942e-01,0.00743295,2.14087e+02,2.90741e-07
15800,0.18570,2.22391e-03,6.27715e+01,3.66156e-01,5.26426e-01,1.90185e-01,0.00583316,2.15174e+02,-3.94033e-07
15900,0.21087,2.89905e-03,6.00138e+01,4.30486e-01,5.48035e-01,1.58304e-01,0.00717311,2.16258e+02,2.43401e-07
16000,0.18043,2.09228e-03,5.10400e+01,4.37202e-01,5.34909e-01,2.04172e-01,0.00856589,2.17340e+02,-2.46174e-08
16100,0.20388,2.71175e-03,5.14266e+01,3.44503e-01,5.54797e-01,1.89276e-01,0.00669893,2.18417e+02,1.84518e-07
16200,0.17010,1.88890e-03,4.61181e+01,2.89842e-01,5.81002e-01,1.77963e-01,0.00628478,2.19492e+02,5.10297e-07
16300,0.23381,3.53216e-03,4.79842e+01,3.34037e-01,7.80482e-01,1.30438e-01,0.00696138,2.20564e+02,2.33995e-07
16400,0.28264,5.11423e-03,4.41105e+01,3.97065e-01,8.28831e-01,1.52560e-01,0.00900161,2.21632e+02,-5.38388e-08
16500,0.22592,3.30085e-03,4.83133e+01,3.66257e-01,7.24382e-01,2.12684e-01,0.00758087,2.22698e+02,9.64318e-08
16600,0.16826,1.83426e-03,5.59666e+01,3.57216e-01,6.33830e-01,2.35728e-01,0.00638268,2.23761e+02,-8.53671e-08
16700,0.30757,6.09263e-03,5.21440e+01,3.87699e-01,6.10211e-01,1.78048e-01,0.00743517,2.24821e+02,-3.07123e-08
16800,0.23940,3.70968e-03,4.33073e+01,3.94262e-01,5.58173e-01,1.77579e-01,0.00910383,2.25878e+02,-7.07395e-09
16900,0.16376,1.72988e-03,4.61332e+01,3.12781e-01,5.14752e-01,2.55544e-01,0.00677994,2.26933e+02,1.24854e-07
17000,0.13866,1.23303e-03,5.06616e+01,2.83321e-01,5.09930e-01,2.42130e-01,0.00559241,2.27984e+02,-1.38652e-07
17100,0.17847,2.02345e-03,5.15936e+01,3.54185e-01,5.27551e-01,1.67836e-01,0.00686490,2.29032e+02,1.58181e-07
17200,0.21554,2.88295e-03,4.87708e+01,4.31220e-01,5.85247e-01,1.72179e-01,0.00884176,2.30077e+02,2.92954e-07
17300,0.21199,2.87065e-03,5.93654e+01,3.55198e-01,6.66240e-01,2.17608e-01,0.00598325,2.31120e+02,2.63493e-07
17400,0.17834,2.00433e-03,5.50423e+01,3.15999e-01,6.52536e-01,2.29048e-01,0.00574101,2.32160e+02,5.28533e-08
17500,0.25634,4.22808e-03,4.41603e+01,3.53869e-01,6.82675e-01,1.88739e-01,0.00801328,2.33196e+02,-2.44451e-07
17600,0.27568,4.83307e-03,5.36543e+01,3.44531e-01,6.42496e-01,1.45270e-01,0.00642131,2.34229e+02,-8.51737e-08
17700,0.16320,1.68774e-03,5.54509e+01,2.93173e-01,5.54329e-01,1.56690e-01,0.00528707,2.35260e+02,2.12943e-07
17800,0.14068,1.25625e-03,4.02728e+01,3.29647e-01,5.13859e-01,2.70608e-01,0.00818534,2.36288e+02,-1.27403e-07
17900,0.21918,3.03909e-03,5.09105e+01,3.64288e-01,5.16478e-01,2.77058e-01,0.00715546,2.37313e+02,1.43301e-07
18000,0.19551,2.42556e-03,5.60503e+01,3.85154e-01,5.38064e-01,1.92040e-01,0.00687158,2.38336e+02,1.10642e-07
