height_1,height_2,height_3,n_peaks,r_peak_1,r_peak_2,r_peak_3,step,twist_total
0.000773,,,1,0.4,,,35600,0.21073938140510873
0.000669,,,1,0.2,,,35700,0.23781460535100327
0.001217,,,1,0.2,,,35800,0.24572057411064244
0.000798,,,1,0.2,,,35900,0.21716753325578897
0.000639,,,1,0.4,,,36000,0.17051730706099238
0.000792,0.000331,,2,0.2,0.8,,36100,0.15197653370097677
0.001148,,,1,0.4,,,36200,0.18204542073104982
0.001331,,,1,0.2,,,36300,0.222625425864563
0.001036,,,1,0.4,,,36400,0.23441260995319588
0.000653,,,1,0.4,,,36500,0.22608108347262088
0.000899,,,1,0.2,,,36600,0.20413488363397736
0.001238,,,1,0.2,,,36700,0.17766045325775814
0.000557,,,1,0.4,,,36800,0.15265545655328921
0.000583,,,1,0.4,,,36900,0.1632269903880033
0.00109,,,1,0.2,,,37000,0.21596561909214182
0.001087,,,1,0.4,,,37100,0.24674002556189503
0.000981,,,1,0.2,,,37200,0.22082377992554525
0.000973,,,1,0.2,,,37300,0.18608000489159843
0.000833,,,1,0.4,,,37400,0.16399088183366317
0.001104,,,1,0.2,,,37500,0.1602989788919682
0.000937,,,1,0.4,,,37600,0.17321154279937367
0.000543,,,1,0.4,,,37700,0.20076787556286066
0.001112,,,1,0.2,,,37800,0.23287204639615053
0.001227,,,1,0.2,,,37900,0.23062427415398218
0.000768,,,1,0.4,,,38000,0.1869447207666619
0.00085,,,1,0.2,,,38100,0.15344688741118379
0.000613,,,1,0.4,,,38200,0.15098662521908482
0.000716,,,1,0.4,,,38300,0.18195207427575663
0.001426,,,1,0.2,,,38400,0.21491215756440551
0.000995,,,1,0.4,,,38500,0.22045727250722064
0.000703,,,1,0.2,,,38600,0.21232365576008852
0.001456,,,1,0.2,,,38700,0.1943575661652346
0.000533,,,1,0.4,,,38800,0.1556630024600127
0.000622,,,1,0.2,,,38900,0.13685478193978226
0.000862,,,1,0.2,,,39000,0.16814878973104116
0.000798,,,1,0.4,,,39100,0.21701886612264545
0.001232,,,1,0.2,,,39200,0.22616300807594672
0.000808,,,1,0.2,,,39300,0.1985478170369496
0.000634,,,1,0.4,,,39400,0.17333118039681825
0.001129,,,1,0.2,,,39500,0.15523637864608808
0.000677,,,1,0.2,,,39600,0.14574557401325164
0.000755,,,1,0.4,,,39700,0.16481172448037712
0.000951,,,1,0.2,,,39800,0.20173643735402477
0.0011,,,1,0.2,,,39900,0.22569591117443247
0.00091,,,1,0.4,,,40000,0.20462803684363234
